Ephemeris for Mercury,,,,,,,
,DATE,,Rise,Culm,Set,Approx,Constellation
Year,Month,Day,,,,Mag.,
2023,Jul,1,05:18,12:19,19:19,-2.3,Gemini
2023,Jul,8,05:59,12:56,19:54,-1.4,Gemini
2023,Jul,15,06:37,13:27,20:16,-0.7,Cancer
2023,Jul,22,07:08,13:48,20:27,-0.3,Leo
2023,Aug,1,07:39,14:04,20:29,0,Leo
2023,Aug,8,07:50,14:06,20:21,0.2,Leo
2023,Aug,15,07:51,13:59,20:07,0.4,Leo
2023,Aug,22,07:39,13:41,19:44,0.9,Leo
2023,Sep,1,06:47,12:50,18:54,3.3,Leo
2023,Sep,8,05:50,12:01,18:12,5.1,Sextans
2023,Sep,15,05:02,11:21,17:40,1.5,Leo
2023,Sep,22,04:45,11:06,17:27,-0.4,Leo
2023,Oct,1,05:04,11:17,17:30,-1,Leo
2023,Oct,8,05:31,11:34,17:36,-1.2,Virgo
2023,Oct,15,06:00,11:51,17:42,-1.4,Virgo
2023,Oct,22,06:27,12:07,17:46,-1.5,Virgo
2023,Nov,1,07:04,12:29,17:54,-0.8,Libra
2023,Nov,8,07:29,12:45,18:01,-0.6,Libra
2023,Nov,15,07:52,13:01,18:10,-0.4,Scorpius
2023,Nov,22,08:13,13:17,18:21,-0.4,Ophiuchus
2023,Dec,1,08:33,13:35,18:37,-0.5,Sagittarius
2023,Dec,8,08:36,13:39,18:43,-0.4,Sagittarius
2023,Dec,15,08:13,13:20,18:28,0.8,Sagittarius
2023,Dec,22,07:13,12:26,17:39,5.4,Sagittarius
2024,Jan,1,05:48,11:05,16:22,0.5,Ophiuchus
2024,Jan,8,05:31,10:46,16:00,-0.2,Ophiuchus
2024,Jan,15,05:34,10:46,15:57,-0.3,Sagittarius
2024,Jan,22,05:46,10:55,16:05,-0.2,Sagittarius
2024,Feb,1,06:06,11:17,16:27,-0.3,Sagittarius
2024,Feb,8,06:20,11:35,16:49,-0.4,Capricornus
2024,Feb,15,06:32,11:54,17:15,-0.7,Capricornus
2024,Feb,22,06:43,12:13,17:44,-1.2,Aquarius
2024,Mar,1,06:54,12:37,18:20,-1.8,Aquarius
2024,Mar,8,07:01,12:58,18:54,-1.5,Pisces
2024,Mar,15,07:06,13:17,19:27,-1.1,Pisces
2024,Mar,22,07:05,13:28,19:51,-0.6,Pisces
2024,Apr,1,06:42,13:15,19:47,1.4,Pisces
2024,Apr,8,06:10,12:41,19:11,4.4,Pisces
2024,Apr,15,05:34,11:57,18:20,5.2,Pisces
2024,Apr,22,05:02,11:18,17:34,2.6,Pisces
2024,May,1,04:35,10:47,17:00,1,Pisces
2024,May,8,04:23,10:38,16:52,0.5,Pisces
2024,May,15,04:17,10:37,16:58,0.1,Pisces
2024,May,22,04:17,10:45,17:13,-0.2,Aries
2024,Jun,1,04:28,11:11,17:53,-0.8,Taurus
2024,Jun,8,04:48,11:40,18:33,-1.5,Taurus
2024,Jun,15,05:18,12:18,19:18,-2.4,Taurus
2024,Jun,22,05:55,12:57,19:58,-1.4,Gemini
2024,Jul,1,06:41,13:37,20:33,-0.6,Gemini
2024,Jul,8,07:10,13:57,20:45,-0.2,Cancer
2024,Jul,15,07:30,14:09,20:47,0.1,Leo
2024,Jul,22,07:41,14:10,20:40,0.3,Leo
2024,Aug,1,07:35,13:54,20:14,0.9,Leo
2024,Aug,8,07:10,13:27,19:43,2,Sextans
2024,Aug,15,06:27,12:45,19:03,4.1,Leo
2024,Aug,22,05:32,11:56,18:21,4.5,Leo
2024,Sep,1,04:39,11:12,17:44,0.5,Leo
2024,Sep,8,04:38,11:10,17:41,-0.7,Leo
2024,Sep,15,05:00,11:25,17:49,-1.1,Leo
2024,Sep,22,05:31,11:45,17:59,-1.4,Leo
2024,Oct,1,06:10,12:09,18:07,-1.7,Virgo
2024,Oct,8,06:38,12:25,18:12,-1.1,Virgo
2024,Oct,15,07:03,12:39,18:15,-0.7,Virgo
2024,Oct,22,07:27,12:53,18:19,-0.4,Libra
2024,Nov,1,07:59,13:12,18:26,-0.3,Libra
2024,Nov,8,08:18,13:25,18:32,-0.3,Scorpius
2024,Nov,15,08:31,13:34,18:37,-0.3,Ophiuchus
2024,Nov,22,08:31,13:33,18:36,-0.2,Ophiuchus
2024,Dec,1,07:48,12:56,18:04,2.1,Ophiuchus
2024,Dec,8,06:37,11:53,17:09,4.4,Ophiuchus
2024,Dec,15,05:42,11:02,16:23,0.5,Scorpius
2024,Dec,22,05:26,10:44,16:03,-0.3,Scorpius
2025,Jan,1,05:37,10:50,16:02,-0.4,Ophiuchus
2025,Jan,8,05:54,11:03,16:11,-0.3,Sagittarius
2025,Jan,15,06:13,11:20,16:27,-0.4,Sagittarius
2025,Jan,22,06:30,11:39,16:47,-0.5,Sagittarius
2025,Feb,1,06:53,12:08,17:23,-1,Capricornus
2025,Feb,8,07:06,12:29,17:52,-1.5,Capricornus
2025,Feb,15,07:16,12:50,18:23,-1.5,Aquarius
2025,Feb,22,07:24,13:10,18:56,-1.3,Aquarius
2025,Mar,1,07:27,13:26,19:26,-1,Pisces
2025,Mar,8,07:21,13:32,19:43,-0.5,Pisces
2025,Mar,15,07:00,13:17,19:34,1.2,Pisces
2025,Mar,22,06:24,12:39,18:54,4.6,Pisces
2025,Apr,1,05:28,11:33,17:38,3,Pisces
2025,Apr,8,05:02,11:01,17:00,1.4,Pisces
2025,Apr,15,04:46,10:44,16:42,0.6,Pisces
2025,Apr,22,04:37,10:38,16:39,0.3,Pisces
2025,May,1,04:33,10:42,16:52,0,Pisces
2025,May,8,04:34,10:53,17:11,-0.3,Pisces
2025,May,15,04:40,11:09,17:39,-0.7,Aries
2025,May,22,04:53,11:34,18:15,-1.3,Aries
2025,Jun,1,05:26,12:23,19:19,-2.2,Taurus
2025,Jun,8,05:58,13:00,20:03,-1.3,Taurus
2025,Jun,15,06:31,13:33,20:35,-0.7,Gemini
2025,Jun,22,06:59,13:56,20:53,-0.2,Gemini
2025,Jul,1,07:22,14:10,20:58,0.2,Cancer
2025,Jul,8,07:27,14:08,20:48,0.7,Cancer
2025,Jul,15,07:18,13:53,20:27,1.3,Cancer
2025,Jul,22,06:52,13:23,19:54,2.6,Cancer
All times computed for New Delhi (latitude 28.64; longitude 77.22) and expressed in New Delhi time.,,,,,,,
Ephemeris computed by Dominic Ford.,,,,,,,
<https://in-the-sky.org/>,,,,,,,
